Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-02-05,RELIANCE,EQ,928.8,936.0,939.9,917.6,921.6,923.7,930.11,2826578,262903529765000.0,58327,1217769,0.4308
2015-02-06,RELIANCE,EQ,923.7,924.1,930.0,903.0,911.15,909.9,916.3,2067728,189466759350000.0,50276,906160,0.43820000000000003
2015-02-09,RELIANCE,EQ,909.9,901.2,918.0,892.0,894.35,896.7,905.54,2020605,182974840605000.0,55988,880015,0.4355
2015-02-10,RELIANCE,EQ,896.7,898.0,904.5,861.3,884.6,882.0,887.96,3120391,277079407360000.0,83170,1215405,0.3895
2015-02-11,RELIANCE,EQ,882.0,886.0,904.75,883.0,901.5,900.7,894.64,2235774,200021838445000.0,43905,1002752,0.4485
2015-02-12,RELIANCE,EQ,900.7,908.0,913.95,887.25,912.55,909.15,899.35,1990874,179049942745000.0,54081,744878,0.3741
2015-02-13,RELIANCE,EQ,909.15,914.0,920.8,909.05,920.05,917.5,916.17,1690071,154839296295000.0,39163,759743,0.4495
2015-02-16,RELIANCE,EQ,917.5,918.7,924.2,900.0,902.15,902.8,910.85,2803961,255397482925000.0,75984,1577530,0.5626
2015-02-18,RELIANCE,EQ,902.8,900.0,908.0,894.4,901.1,901.65,901.29,2248124,202621115490000.0,65950,1239873,0.5515
2015-02-19,RELIANCE,EQ,901.65,906.95,907.6,887.55,901.15,902.05,896.86,2183115,195794974635000.0,57260,1006768,0.4612
2015-02-20,RELIANCE,EQ,902.05,895.25,896.0,871.3,872.8,873.1,876.92,4278437,375183733365000.0,111545,2125610,0.4968
2015-02-23,RELIANCE,EQ,873.1,869.95,876.75,847.1,848.1,851.45,860.98,3224043,277583905044999.97,71325,1703516,0.5284000000000001
2015-02-24,RELIANCE,EQ,851.45,854.25,856.8,837.0,842.2,841.45,843.77,4559370,384707614075000.0,135555,2380353,0.5221
2015-02-25,RELIANCE,EQ,841.45,848.8,856.5,841.05,844.55,843.15,847.86,3491406,296020739935000.0,77841,2114395,0.6056
2015-02-26,RELIANCE,EQ,843.15,846.1,850.0,836.6,848.5,842.0,841.76,4905338,412909510575000.0,85739,3299306,0.6726000000000001
2015-02-27,RELIANCE,EQ,842.0,847.55,861.0,844.6,859.3,855.55,851.92,4265220,363364140950000.0,68505,2942881,0.6900000000000001
2015-02-28,RELIANCE,EQ,855.55,862.8,868.4,846.6,867.0,865.15,860.13,2093776,180092691185000.0,45333,641311,0.3063
2015-03-02,RELIANCE,EQ,865.15,869.0,875.5,855.55,864.95,864.25,862.25,3332631,287356509820000.0,65921,1693328,0.5081
2015-03-03,RELIANCE,EQ,864.25,869.0,906.45,867.4,900.15,900.8,894.08,4717254,421757927905000.0,113396,2087683,0.4426
2015-03-04,RELIANCE,EQ,900.8,906.0,909.65,880.05,886.25,887.85,894.98,3308981,296147978095000.0,74794,1655923,0.5004
2015-03-05,RELIANCE,EQ,887.85,892.5,898.75,878.15,886.0,884.95,887.43,2449658,217389201530000.03,61861,1127363,0.46020000000000005
2015-03-09,RELIANCE,EQ,884.95,885.1,891.75,864.15,865.4,869.65,878.6,3215112,282478147570000.0,81492,1652011,0.5138
2015-03-10,RELIANCE,EQ,869.65,868.95,875.8,855.4,858.0,859.15,863.46,3482250,300677676340000.0,106079,2053139,0.5896
2015-03-11,RELIANCE,EQ,859.15,860.95,869.6,852.4,853.5,855.95,860.98,2659765,228999380330000.03,51290,1375936,0.5173
2015-03-12,RELIANCE,EQ,855.95,858.0,867.4,855.6,863.5,863.8,860.09,2693254,231644827469999.97,69814,1429665,0.5307999999999999
2015-03-13,RELIANCE,EQ,863.8,869.0,869.6,847.0,852.4,850.1,856.33,2956988,253214648965000.0,65593,1637601,0.5538000000000001
2015-03-16,RELIANCE,EQ,850.1,851.5,853.95,840.3,843.2,842.1,843.28,3163589,266780447475000.0,69775,1882510,0.5951
2015-03-17,RELIANCE,EQ,842.1,850.55,859.9,841.0,856.05,856.85,850.6,4359100,370786050520000.0,110131,2454813,0.5631
2015-03-18,RELIANCE,EQ,856.85,857.0,872.25,854.7,868.95,868.65,863.08,2118940,182881374675000.0,53546,912999,0.43090000000000006
2015-03-19,RELIANCE,EQ,868.65,875.55,876.7,854.1,854.7,856.15,864.62,3185218,275400073335000.0,72258,1832137,0.5752
2015-03-20,RELIANCE,EQ,856.15,857.9,861.15,848.6,858.0,854.1,854.68,2378572,203290671150000.0,56037,1375418,0.5783
2015-03-23,RELIANCE,EQ,854.1,856.5,864.0,838.1,842.0,841.95,846.02,3029112,256269958775000.0,84186,1628343,0.5376
2015-03-24,RELIANCE,EQ,841.95,842.1,854.3,842.1,848.9,847.95,848.15,2111750,179108931950000.0,67428,1084758,0.5136999999999999
2015-03-25,RELIANCE,EQ,847.95,849.0,849.5,841.0,842.0,844.9,843.72,2346393,197969649980000.0,63316,1681761,0.7167
2015-03-26,RELIANCE,EQ,844.9,841.1,849.25,824.1,831.0,829.3,835.77,4713693,393954317140000.0,81113,2809895,0.5961
2015-03-27,RELIANCE,EQ,829.3,833.9,835.0,801.45,810.0,811.7,815.7,5332142,434941910705000.0,112001,2938300,0.5511
2015-03-30,RELIANCE,EQ,811.7,816.6,817.7,796.45,814.1,810.75,807.78,3961481,320000396385000.0,105633,2057695,0.5194
2015-03-31,RELIANCE,EQ,810.75,818.0,832.9,818.0,822.9,826.0,826.68,4625471,382377248595000.0,125251,2610631,0.5644
2015-04-01,RELIANCE,EQ,826.0,824.9,839.0,813.1,835.15,836.05,825.5,3334693,275279580960000.0,87280,1731987,0.5194
2015-04-06,RELIANCE,EQ,836.05,836.0,838.0,821.4,823.65,824.65,826.2,2819367,232936626390000.0,92986,1890668,0.6706000000000001
2015-04-07,RELIANCE,EQ,824.65,826.05,836.1,826.05,832.15,832.85,831.39,4863211,404321739350000.0,76000,3073880,0.6321
2015-04-08,RELIANCE,EQ,832.85,833.5,869.5,832.9,863.0,865.9,855.45,5673710,485357287210000.06,112110,3013003,0.531
2015-04-09,RELIANCE,EQ,865.9,865.5,899.0,858.8,897.0,895.1,880.85,6234931,549206819010000.06,132040,3314067,0.5315
2015-04-10,RELIANCE,EQ,895.1,894.95,908.8,889.1,904.0,904.35,899.4,5788462,520614122920000.0,111502,3098215,0.5352
2015-04-13,RELIANCE,EQ,904.35,906.8,924.75,898.75,922.3,922.5,914.98,4612201,422008651360000.0,163738,2699653,0.5853
2015-04-15,RELIANCE,EQ,922.5,921.0,939.6,907.2,923.9,923.65,919.83,5081693,467431501780000.0,117445,2582704,0.5082
2015-04-16,RELIANCE,EQ,923.65,924.5,938.0,919.0,929.55,928.35,928.04,4612192,428029013550000.0,88219,2190459,0.47490000000000004
2015-04-17,RELIANCE,EQ,928.35,935.05,944.3,922.6,924.1,926.85,934.15,5476551,511592340564999.94,143446,2563930,0.4682
2015-04-20,RELIANCE,EQ,926.85,937.3,937.45,878.5,883.75,885.65,901.51,8601165,775401393460000.0,213701,3769134,0.43820000000000003
2015-04-21,RELIANCE,EQ,885.65,890.15,895.5,872.45,876.45,876.45,885.51,4047524,358412258180000.0,96711,1995403,0.493
2015-04-22,RELIANCE,EQ,876.45,881.9,886.75,867.0,879.0,879.75,877.9,3374188,296219809540000.0,79083,1544890,0.4579
2015-04-23,RELIANCE,EQ,879.75,883.85,889.4,869.05,877.0,877.05,878.99,3048801,267986336419999.97,81081,1368937,0.449
2015-04-24,RELIANCE,EQ,877.05,877.0,884.45,868.65,882.4,878.9,878.25,2905259,255155210119999.97,81160,1544087,0.5315
2015-04-27,RELIANCE,EQ,878.9,880.05,887.5,871.45,872.2,875.3,879.51,2524227,222008876569999.97,89364,1200449,0.4756
2015-04-28,RELIANCE,EQ,875.3,874.7,882.0,858.55,862.9,865.2,868.23,3357286,291490368110000.0,90615,1890627,0.5631
2015-04-29,RELIANCE,EQ,865.2,862.0,870.55,847.4,848.2,850.0,859.96,3746012,322143713425000.0,76980,2175833,0.5808
2015-04-30,RELIANCE,EQ,850.0,850.0,865.9,847.95,865.0,862.35,857.81,7955186,682399951655000.0,121772,5407522,0.6797
2015-05-04,RELIANCE,EQ,862.35,866.2,893.9,860.5,892.75,890.95,877.55,3446692,302465862645000.0,81908,1994809,0.5788000000000001
2015-05-05,RELIANCE,EQ,890.95,893.7,901.8,885.1,891.15,892.15,892.74,4079468,364189094745000.0,91479,2226928,0.5459
2015-05-06,RELIANCE,EQ,892.15,890.0,896.75,872.0,877.0,880.25,881.92,5128997,452337404050000.0,112601,3021295,0.5891
2015-05-07,RELIANCE,EQ,880.25,875.0,878.45,860.0,867.0,870.75,867.56,3825462,331880185775000.0,99893,2068835,0.5408
2015-05-08,RELIANCE,EQ,870.75,871.0,893.75,861.1,888.25,889.7,881.17,3909788,344520020810000.0,88315,2102564,0.5378000000000001
2015-05-11,RELIANCE,EQ,889.7,892.85,899.45,883.4,893.8,895.95,891.99,3249083,289815253020000.0,85186,1550053,0.4771
2015-05-12,RELIANCE,EQ,895.95,894.9,894.9,865.15,871.15,868.7,872.93,3805956,332234949225000.0,98816,1983358,0.5211
2015-05-13,RELIANCE,EQ,868.7,873.35,888.65,857.2,885.6,885.1,872.11,3817667,332942906755000.0,70562,1668574,0.43710000000000004
2015-05-14,RELIANCE,EQ,885.1,886.0,886.2,870.3,877.0,878.2,878.07,2818365,247473043860000.0,56726,1327843,0.4711
2015-05-15,RELIANCE,EQ,878.2,881.9,886.95,870.1,872.15,873.95,876.77,1904490,166980016300000.0,50133,841744,0.44200000000000006
2015-05-18,RELIANCE,EQ,873.95,874.9,894.0,872.2,891.5,891.55,885.61,2250982,199349407815000.0,73046,1087241,0.483
2015-05-19,RELIANCE,EQ,891.55,891.25,904.75,886.6,895.0,895.55,895.25,3317436,296994539715000.0,120107,1773899,0.5347
2015-05-20,RELIANCE,EQ,895.55,900.4,911.0,897.7,906.9,908.85,905.03,1990706,180165716545000.0,56632,939754,0.4721
2015-05-21,RELIANCE,EQ,908.85,911.25,915.4,894.1,895.6,896.75,902.19,2459446,221889067185000.0,53848,1074861,0.43700000000000006
2015-05-22,RELIANCE,EQ,896.75,897.0,905.6,897.0,902.3,903.85,901.65,1908452,172076261770000.0,60427,1025731,0.5375
2015-05-25,RELIANCE,EQ,903.85,900.0,908.0,892.35,893.1,894.5,898.93,1512612,135972767715000.02,28170,607306,0.40149999999999997
2015-05-26,RELIANCE,EQ,894.5,895.0,896.0,882.7,887.0,884.6,889.75,2173883,193420731005000.0,53213,1169442,0.538
2015-05-27,RELIANCE,EQ,884.6,886.0,890.9,880.2,884.9,885.3,885.53,1846549,163517735040000.0,44569,994424,0.5385
2015-05-28,RELIANCE,EQ,885.3,885.85,894.25,872.0,876.6,875.8,879.97,6066339,533820762355000.0,79015,3583692,0.5908
2015-05-29,RELIANCE,EQ,875.8,879.9,886.45,873.1,880.85,877.0,877.96,6692348,587558198535000.0,112299,5112969,0.7640000000000001
2015-06-01,RELIANCE,EQ,877.0,880.0,904.9,878.0,902.05,902.25,899.09,4479082,402709968650000.0,81472,3124255,0.6975
2015-06-02,RELIANCE,EQ,902.25,905.75,918.8,891.45,897.0,898.65,903.61,4612571,416798731675000.0,92076,2432032,0.5273
2015-06-03,RELIANCE,EQ,898.65,899.0,910.45,888.5,895.0,896.35,898.63,3553618,319339837435000.0,91150,1820172,0.5122
2015-06-04,RELIANCE,EQ,896.35,904.2,916.2,892.55,915.8,912.7,905.49,3641649,329747378175000.0,84220,1994117,0.5476
2015-06-05,RELIANCE,EQ,912.7,909.9,916.95,904.45,910.4,907.75,910.16,2986745,271841336965000.0,74316,1608043,0.5384000000000001
2015-06-08,RELIANCE,EQ,907.75,906.8,910.0,883.1,885.25,885.45,894.43,2479431,221767198960000.0,64508,1326243,0.5349
2015-06-09,RELIANCE,EQ,885.45,883.55,890.65,877.35,883.95,883.7,883.88,2092303,184933813515000.0,65744,1105029,0.5281
2015-06-10,RELIANCE,EQ,883.7,886.0,909.9,885.0,906.3,905.8,903.28,3088017,278935317610000.0,79564,1807008,0.5852
2015-06-11,RELIANCE,EQ,905.8,906.0,909.5,873.65,877.5,877.15,885.57,3354787,297091107840000.0,65663,1854142,0.5527000000000001
2015-06-12,RELIANCE,EQ,877.15,879.0,892.7,878.25,891.5,889.85,887.95,4924556,437275658225000.0,103898,2607451,0.5295000000000001
2015-06-15,RELIANCE,EQ,889.85,894.9,905.0,890.0,901.45,901.75,900.02,2939253,264538175494999.97,113717,1549214,0.5271
2015-06-16,RELIANCE,EQ,901.75,899.0,905.0,893.2,904.5,903.95,897.72,3184005,285833463295000.0,96212,2019309,0.6342
2015-06-17,RELIANCE,EQ,903.95,905.05,942.35,894.0,931.45,931.2,923.67,5996339,553866607750000.0,136777,2801962,0.4673
2015-06-18,RELIANCE,EQ,931.2,932.55,982.0,932.5,980.05,978.95,966.38,11284420,1090508676110000.0,265987,5242586,0.4646
2015-06-19,RELIANCE,EQ,978.95,982.5,1006.4,982.5,997.15,996.65,994.47,10448751,1039101674570000.1,260477,5255208,0.503
2015-06-22,RELIANCE,EQ,996.65,996.95,1008.7,986.5,992.65,991.7,993.41,4433185,440398045705000.0,120226,2072188,0.46740000000000004
2015-06-23,RELIANCE,EQ,991.7,992.65,1002.7,991.0,993.2,995.0,996.31,3659045,364555861120000.0,90238,1969301,0.5382
2015-06-24,RELIANCE,EQ,995.0,995.0,1006.45,986.65,987.15,990.9,998.05,4252334,424406195960000.0,121988,2182995,0.5134000000000001
2015-06-25,RELIANCE,EQ,990.9,987.0,1009.0,985.0,1006.8,1004.55,1001.13,6211775,621880516890000.0,122268,3909988,0.6294
2015-06-26,RELIANCE,EQ,1004.55,999.9,1014.1,995.4,999.5,1000.7,1002.84,4792657,480626808425000.0,116973,2397982,0.5003
2015-06-29,RELIANCE,EQ,1000.7,987.9,993.85,972.0,990.3,990.85,983.69,4610282,453509202425000.0,116484,2437703,0.5288
2015-06-30,RELIANCE,EQ,990.85,989.9,1002.85,988.0,999.0,1000.1,994.4,5299670,526997973575000.0,128344,3320620,0.6265999999999999
2015-07-01,RELIANCE,EQ,1000.1,1001.0,1010.45,1001.0,1006.0,1005.65,1006.47,3388578,341049040935000.0,91024,2009894,0.5931000000000001
2015-07-02,RELIANCE,EQ,1005.65,1009.0,1019.75,1007.1,1008.05,1010.85,1013.68,3641605,369140555550000.0,100369,1995021,0.5478000000000001
2015-07-03,RELIANCE,EQ,1010.85,1009.75,1013.8,1003.05,1005.4,1007.2,1008.46,3161556,318830741540000.0,87704,1882915,0.5956
2015-07-06,RELIANCE,EQ,1007.2,996.1,1018.9,995.2,1017.7,1015.55,1006.87,2797340,281656538025000.0,63280,1509543,0.5396
2015-07-07,RELIANCE,EQ,1015.55,1011.0,1016.6,1000.0,1004.15,1003.25,1007.46,2581847,260109756250000.0,81763,1523014,0.5899
2015-07-08,RELIANCE,EQ,1003.25,995.85,1008.7,991.65,993.2,996.6,998.88,3472328,346843172435000.0,96915,1674121,0.48210000000000003
2015-07-09,RELIANCE,EQ,996.6,996.0,1001.0,983.15,990.0,987.4,993.14,3713532,368807385850000.0,112899,2327134,0.6267
2015-07-10,RELIANCE,EQ,987.4,991.1,1004.0,990.25,1001.9,1001.8,998.98,3682606,367885454480000.0,101337,2001485,0.5435
2015-07-13,RELIANCE,EQ,1001.8,1001.8,1012.5,995.15,1005.8,1007.0,1004.58,2253887,226421436535000.0,85261,1268558,0.5628000000000001
2015-07-14,RELIANCE,EQ,1007.0,1008.9,1011.5,995.2,996.35,997.8,1002.08,2272786,227752357785000.0,61634,1281088,0.5637
2015-07-15,RELIANCE,EQ,997.8,999.75,1014.4,999.55,1008.85,1011.15,1009.69,3093396,312338313800000.0,63040,1968555,0.6364
2015-07-16,RELIANCE,EQ,1011.15,1012.0,1027.8,1011.15,1022.35,1023.7,1023.25,3395442,347436972865000.0,93148,1974168,0.5814
2015-07-17,RELIANCE,EQ,1023.7,1025.25,1031.15,1018.0,1024.0,1021.7,1025.68,2330438,239029294700000.0,61689,1300960,0.5582
2015-07-20,RELIANCE,EQ,1021.7,1027.8,1029.95,1017.9,1024.95,1024.75,1024.25,1451127,148632313720000.0,37725,715420,0.493
2015-07-21,RELIANCE,EQ,1024.75,1028.0,1028.45,1002.75,1010.8,1007.8,1018.12,1811142,184395464095000.0,62651,887851,0.4902
2015-07-22,RELIANCE,EQ,1007.8,1005.0,1053.95,1004.6,1051.9,1050.4,1039.67,3956647,411362683300000.0,108188,1881056,0.4754
2015-07-23,RELIANCE,EQ,1050.4,1053.5,1067.85,1041.2,1044.95,1045.3,1051.89,4261457,448256429785000.06,101181,1662181,0.39
2015-07-24,RELIANCE,EQ,1045.3,1048.0,1049.65,1021.1,1029.0,1025.05,1036.68,2994363,310419063560000.0,77903,1407651,0.47009999999999996
2015-07-27,RELIANCE,EQ,1025.05,1024.9,1029.9,1001.75,1002.1,1005.35,1015.96,4598763,467215132550000.0,163170,2081832,0.45270000000000005
2015-07-28,RELIANCE,EQ,1005.35,1008.3,1016.7,1000.1,1011.1,1010.25,1010.32,3059101,309068325445000.0,102509,1756519,0.5742
2015-07-29,RELIANCE,EQ,1010.25,1009.5,1012.7,992.1,995.9,996.0,1003.07,3380933,339131737475000.0,95948,2093680,0.6193
2015-07-30,RELIANCE,EQ,996.0,1000.1,1008.0,992.3,1000.0,1000.15,1000.42,2674704,267584071600000.0,55101,1295745,0.4844
2015-07-31,RELIANCE,EQ,1000.15,1000.0,1007.9,990.0,1001.0,1001.85,1000.38,3802312,380374733205000.0,93890,2376093,0.6249
2015-08-03,RELIANCE,EQ,1001.85,1001.0,1013.85,999.4,1002.0,1002.45,1005.15,2260182,227181890460000.0,64113,1164976,0.5154
2015-08-04,RELIANCE,EQ,1002.45,1003.4,1005.65,980.0,989.35,988.0,989.8,2744569,271656486590000.0,95768,1284542,0.46799999999999997
2015-08-05,RELIANCE,EQ,988.0,988.25,1000.8,984.1,988.2,987.75,993.42,3279028,325744264765000.0,63368,1648003,0.5025999999999999
2015-08-06,RELIANCE,EQ,987.75,991.0,992.0,977.5,978.5,978.95,983.01,1990511,195669035255000.0,48334,1017167,0.511
2015-08-07,RELIANCE,EQ,978.95,979.0,994.0,977.15,984.0,984.35,987.34,1967847,194293663335000.0,72393,899677,0.4572
2015-08-10,RELIANCE,EQ,984.35,984.5,988.8,964.5,966.3,968.9,976.42,2123285,207322674610000.0,54028,1396501,0.6577
2015-08-11,RELIANCE,EQ,968.9,971.0,973.65,958.0,966.0,966.0,966.23,2002952,193530622020000.0,55157,858996,0.4289
2015-08-12,RELIANCE,EQ,966.0,963.6,966.0,940.55,942.1,942.9,954.08,2205902,210460717130000.0,85463,917328,0.41590000000000005
2015-08-13,RELIANCE,EQ,942.9,947.0,953.95,929.4,938.4,933.35,940.41,2135047,200782404055000.0,55913,1056311,0.4947
2015-08-14,RELIANCE,EQ,933.35,940.25,972.0,934.3,966.45,966.95,958.88,2912005,279226017869999.97,87760,1551207,0.5327000000000001
2015-08-17,RELIANCE,EQ,966.95,966.0,966.0,946.05,950.9,950.7,952.62,2481826,236424270515000.0,73845,1314047,0.5295000000000001
2015-08-18,RELIANCE,EQ,950.7,956.0,956.0,942.2,945.05,944.1,946.32,1515583,143422506200000.0,47655,633420,0.4179
2015-08-19,RELIANCE,EQ,944.1,944.0,961.0,939.45,953.0,954.6,952.7,2029201,193321760200000.0,50536,988974,0.48740000000000006
2015-08-20,RELIANCE,EQ,954.6,959.95,959.95,913.75,915.65,916.3,929.53,4344929,403876004390000.0,120814,2721925,0.6265
2015-08-21,RELIANCE,EQ,916.3,910.0,911.9,897.0,905.55,907.95,905.24,4583212,414889427665000.0,127465,2978232,0.6498
2015-08-24,RELIANCE,EQ,907.95,880.0,880.0,818.0,821.75,829.55,855.47,8145723,696838332625000.0,180439,4629722,0.5684
2015-08-25,RELIANCE,EQ,829.55,840.85,860.65,823.2,858.3,848.15,841.72,11315843,952476844875000.0,168596,7999100,0.7069
2015-08-26,RELIANCE,EQ,848.15,847.8,874.8,840.0,851.8,853.4,860.44,4332912,372821746840000.0,116846,2295155,0.5297
2015-08-27,RELIANCE,EQ,853.4,866.8,881.25,857.05,868.5,869.15,870.09,6171185,536951538325000.0,134104,3943292,0.639
2015-08-28,RELIANCE,EQ,869.15,875.0,883.0,866.1,871.1,872.4,874.99,2461890,215413782035000.0,60204,989992,0.4021
2015-08-31,RELIANCE,EQ,872.4,872.85,872.85,853.8,857.65,855.9,860.15,4733716,407168567395000.0,80933,3366317,0.7111
2015-09-01,RELIANCE,EQ,855.9,853.9,853.9,835.1,838.15,839.85,842.26,4947842,416736857315000.0,95197,3217918,0.6504000000000001
2015-09-02,RELIANCE,EQ,839.85,850.0,857.1,842.6,853.0,849.55,850.31,4492201,381976280085000.0,103193,2882270,0.6416
2015-09-03,RELIANCE,EQ,849.55,854.05,860.75,844.4,855.05,853.85,852.42,2665275,227193032660000.0,71594,1379765,0.5177
2015-09-04,RELIANCE,EQ,853.85,849.7,849.7,825.1,835.05,835.9,835.59,3703036,309423381680000.0,76332,2203836,0.5951
2015-09-07,RELIANCE,EQ,835.9,838.25,844.0,827.7,833.05,833.2,833.34,2339465,194957093045000.0,62033,1249598,0.5341
2015-09-08,RELIANCE,EQ,833.2,836.0,852.95,825.1,850.6,848.6,842.4,2948830,248410286755000.03,79567,1352665,0.4587
2015-09-09,RELIANCE,EQ,848.6,861.0,878.7,850.5,870.1,874.05,866.09,3963791,343301224280000.0,109108,2323884,0.5863
2015-09-10,RELIANCE,EQ,874.05,861.0,870.5,855.5,870.5,867.0,863.59,2531423,218610631690000.0,54859,1416406,0.5595
2015-09-11,RELIANCE,EQ,867.0,872.0,876.1,856.2,860.35,860.95,863.16,2430944,209828231540000.0,57363,1275183,0.5246000000000001
2015-09-14,RELIANCE,EQ,860.95,861.75,865.7,851.9,862.0,863.85,858.87,1820453,156352891235000.0,45885,775917,0.42619999999999997
2015-09-15,RELIANCE,EQ,863.85,862.0,870.0,855.6,867.0,868.15,864.45,2630944,227431620935000.0,63045,1466818,0.5575
2015-09-16,RELIANCE,EQ,868.15,872.1,877.35,865.2,872.6,872.55,872.1,3068686,267621551394999.97,59035,1998700,0.6513
2015-09-18,RELIANCE,EQ,872.55,878.45,899.5,877.15,891.7,895.4,890.05,7831592,697052341840000.0,126115,6100039,0.7789
2015-09-21,RELIANCE,EQ,895.4,880.0,888.2,876.05,877.75,878.1,882.23,2910364,256762247650000.0,83987,1883028,0.647
2015-09-22,RELIANCE,EQ,878.1,880.0,884.9,844.5,846.0,847.9,861.37,3599162,310021631380000.0,91666,1921854,0.534
2015-09-23,RELIANCE,EQ,847.9,843.0,856.8,840.0,849.3,850.35,848.94,3479324,295374256950000.0,61882,2188168,0.6289
2015-09-24,RELIANCE,EQ,850.35,848.0,848.0,834.75,836.65,837.35,838.12,6646509,557056652214999.94,82970,5163391,0.7769
2015-09-28,RELIANCE,EQ,837.35,839.8,840.9,828.7,835.0,834.25,834.47,2657197,221734037255000.03,66012,1430216,0.5382
2015-09-29,RELIANCE,EQ,834.25,830.0,850.25,826.1,842.0,840.75,838.35,3623837,303802913175000.0,85289,2101366,0.5799000000000001
2015-09-30,RELIANCE,EQ,840.75,851.0,864.8,838.5,862.05,862.3,853.69,3952665,337434592280000.0,101403,2097005,0.5305
2015-10-01,RELIANCE,EQ,862.3,873.95,873.95,858.6,862.5,864.7,864.09,1980306,171117017545000.0,43384,1056518,0.5335
2015-10-05,RELIANCE,EQ,864.7,862.8,890.0,861.85,889.5,888.0,878.86,3660854,321737361290000.0,87514,2055732,0.5615
2015-10-06,RELIANCE,EQ,888.0,895.65,900.5,885.75,893.9,898.05,893.49,2818498,251831000235000.0,89048,1677798,0.5953
2015-10-07,RELIANCE,EQ,898.05,894.7,918.05,891.0,916.1,913.8,903.5,2632179,237817501950000.0,74168,1335809,0.5075000000000001
2015-10-08,RELIANCE,EQ,913.8,914.9,914.9,886.25,892.4,889.1,899.98,2457989,221213007044999.97,62316,788952,0.321
2015-10-09,RELIANCE,EQ,889.1,894.05,905.45,881.5,885.7,887.35,892.19,2132195,190231441525000.0,56884,851776,0.3995
